target,version,patch,code,state,class
US-20 @ US-71,1.54,0.30,ia_us20x71,iowa,junction
US-34 @ US-71,1.55,0.90,ia_us34x71,iowa,junction
US-34 @ US-218,1.55,0.90,ia_us34x218,iowa,junction

# KANSAS ----------------------------------------------------------------------------------------
Ashland,1.49,0.44,ks_ashland,kansas,city
Belleville,1.49,0.44,ks_bellevill,kansas,city
Colby,1.49,0.44,ks_colby,kansas,city
Cunningham,1.49,0.44,ks_cunningha,kansas,city
Dodge City,1.49,0.44,ks_dodgecity,kansas,city
El Dorado,1.49,0.44,ks_eldorado,kansas,city
Emporia,1.49,0.44,ks_emporia ks_emporia35,kansas,city
Fairview,1.49,0.44,ks_fairview,kansas,city
Fort Scott,1.49,0.44,ks_ftscott,kansas,city
Galena,1.49,0.44,ks_galena,kansas,city
Garden City,1.48,0.24,ks_gardencit,kansas,city
Greensburg,1.49,0.44,ks_greensbur,kansas,city
Hays,1.49,0.44,ks_hays,kansas,city
Hutchinson,1.49,0.44,ks_hutchinso,kansas,city
Junction City,1.49,0.44,ks_jctcity,kansas,city
Kanorado,1.49,0.44,ks_kanorado,kansas,city
Kinsley,1.49,0.44,ks_kinsley,kansas,city
Liberal,1.48,0.24,ks_liberal,kansas,city
Marysville,1.49,0.44,ks_marysvill,kansas,city
McPherson,1.49,0.44,ks_mcphers,kansas,city
Mullinville,1.49,0.44,ks_mullinvil,kansas,city
Newton,1.49,0.44,ks_newton,kansas,city
Oakley,1.49,0.44,ks_oakley,kansas,city
Oberlin,1.49,0.44,ks_oberlin,kansas,city
Overland Park,1.49,0.44,ks_overlandp,kansas,city
Phillipsburg,1.49,0.44,ks_phillipsb,kansas,city
Pittsburg,1.47,,ks_pittsburg,kansas,city
Protection,1.49,0.44,ks_protectio,kansas,city
Salina,1.49,0.44,ks_salina,kansas,city
Smith Center,1.49,0.44,ks_smithctr,kansas,city
Topeka,1.48,0.32,ks_topeka,kansas,city
WaKeeney,1.49,0.44,ks_wakenney,kansas,city
Wichita,1.48,0.21,ks_wichita,kansas,city
Yates Center,1.48,0.32,ks_yates,kansas,city

US-50 & US-400,1.49,0.44,coks_slus50,kansas,border
US-83,1.49,0.44,ksok_sl83,kansas,border
I-35,1.49,0.44,ksok_sli35,kansas,border
US-183,1.49,0.44,ksoksl183,kansas,border

I-35 @ US-75,1.49,0.44,ks_i35xus75,kansas,junction
I-70 @ I-470,1.49,0.44,ks_i470xi70 ks_i70470w ks_i70i470,kansas,junction
I-70 @ I-635,1.49,0.44,ks_i70i635,kansas,junction
I-70 @ US-75,1.49,0.44,ks_i70us75e,kansas,junction
I-70 @ K-156,1.49,0.44,ks_i70xks156,kansas,junction
I-135 @ I-70,1.49,0.44,ks_i135xi70,kansas,junction
US-54 @ US-69,1.49,0.44,ks_us54xus69,kansas,junction
US-54 @ US-400,1.49,0.44,ks_us54x400,kansas,junction
US-54 US-400 @ US-183,1.49,0.44,ks_us54us183,kansas,junction
US-54 @ K-3,1.49,0.44,ks_us54ks3,kansas,junction
US-54 @ K-99,1.49,0.44,ks_us54ks99,kansas,junction
US-69 @ US-400,1.49,0.44,ks_us69400 ks_us694002,kansas,junction
US-75 @ US-400,1.49,0.44,ks_us75x400,kansas,junction
US-81 @ US-24,1.49,0.44,ks_us81xus24,kansas,junction
US-160 @ US-183,1.49,0.44,ks_us160us18,kansas,junction
US-183 @ K-156,1.49,0.44,ks_us183156,kansas,junction
US-400 @ K-99,1.49,0.44,ks_us40099e ks_us40099w,kansas,junction

# KENTUCKY ----------------------------------------------------------------------------------------
Louisville,1.57,0.46,ky_louisvill,kentucky,city

# LOUISIANA ----------------------------------------------------------------------------------------
Abbeville,1.55,0.90,la_abbeville,louisiana,city
Alexandria,1.55,0.90,la_alexandr,louisiana,city
Bastrop,1.51,0.41,la_bastrop,louisiana,city
Baton Rouge,1.55,0.90,la_baton la_baton2,louisiana,city
Cameron,1.55,0.90,la_cameron,louisiana,city
Clayton,1.56,0.50,la_clayton,louisiana,city
DeRidder,1.55,0.90,la_deridder,louisiana,city
Esther,1.55,0.90,la_esther,louisiana,city
Ferriday,1.56,0.50,la_ferriday,louisiana,city
Hammond,1.56,0.50,la_hammond,louisiana,city
Houma,1.56,0.50,la_houma,louisiana,city
Junction City,1.51,0.41,ar_la_jctcit,louisiana,city
Kinder,1.56,0.50,la_kinder,louisiana,city
Lafayette,1.55,0.90,la_lafayette,louisiana,city
Lake Charles,1.55,0.90,la_lakechrls,louisiana,city
Logansport,1.56,0.50,la_loganspor,louisiana,city
Mansfield,1.55,0.90,la_mansfield,louisiana,city
Moss Bluff,1.55,0.90,la_mbluff,louisiana,city
Monroe,1.56,0.50,la_monroe,louisiana,city
Natchitoches,1.55,0.90,la_natchito,louisiana,city
New Orleans,1.55,0.90,la_neworlean,louisiana,city
Oak Grove,1.55,0.90,la_oakgrv,louisiana,city
Oberlin,1.56,0.50,la_oberlin,louisiana,city
Pecan Island,1.55,0.90,la_pecanis,louisiana,city
Port Allen,1.56,0.50,la_ptallen,louisiana,city
Ruston,1.51,0.41,la_ruston,louisiana,city
Shreveport,1.46,,la_shrevepor,louisiana,city
Simmesport,1.56,0.50,la_simmespor,louisiana,city
Slidell,1.56,0.50,la_slidell,louisiana,city
Tallulah,1.55,0.90,la_tallulah,louisiana,city
Tullos,1.56,0.50,la_tull,louisiana,city
Winnfield,1.55,0.90,la_winnfield,louisiana,city

I-10 @ I-12,1.56,0.50,la_i10xi12,louisiana,junction
I-10 @ US-165,1.55,0.90,la_i10x165,louisiana,junction
I-49 @ US-167,1.56,0.50,la_i49x167,louisiana,junction
I-49 @ LA 6,1.56,0.50,la_i49xla6,louisiana,junction
US-84 @ US-165,1.56,0.50,la_us84x165,louisiana,junction
US-90 @ LA 14,1.56,0.50,la_us90x14,louisiana,junction
US-90 @ LA 318,1.56,0.50,la_us90x318,louisiana,junction
US-171 @ LA 26,1.56,0.50,la_us171x26,louisiana,junction
US-190 @ LA 1,1.56,0.50,la_us190x1,louisiana,junction
LA 1 @ LA 15,1.56,0.50,la_la1x15,louisiana,junction

# MEXICO ----------------------------------------------------------------------------------------
I-19,1.43,,mx_mexicoi19,mexico,border

# MINNESOTA ----------------------------------------------------------------------------------------
Worthington,1.54,0.60,mn_worthingt,minnesota,city

# MISSOURI ----------------------------------------------------------------------------------------
Bethany,1.54,0.30,mo_bethany,missouri,city
Branson,1.53,0.23,mo_branson,missouri,city
Cabool,1.54,0.30,mo_cabool,missouri,city
Cameron,1.54,0.30,mo_cameron,missouri,city
Cape Girardeau,1.54,0.30,mo_capeg,missouri,city
Chesterfield,1.54,0.30,mo_chesterfi,missouri,city
Collins,1.54,0.30,mo_collins,missouri,city
Columbia,1.53,0.16,mo_columbia,missouri,city
Fordland,1.54,0.30,mo_fordland,missouri,city
Hannibal,1.54,0.30,mo_hannibal,missouri,city
Harrisonville,1.54,0.30,mo_harrisonv,missouri,city
Jefferson City,1.53,0.23,mo_jefferson,missouri,city
Joplin,1.49,0.44,mo_joplin,missouri,city
Kansas City,1.49,0.44,mo_kansascit,missouri,city
Kennett,1.51,0.41,mo_kennett,missouri,city
Kingdom City,1.53,0.53,mo_kingdomci,missouri,city
Kirksville,1.54,0.30,mo_kirksvill,missouri,city
Lake of the Ozarks,1.54,0.30,mo_lakeozark,missouri,city
Lancaster,1.54,0.30,mo_lancaster,missouri,city
Licking,1.54,0.30,mo_licking,missouri,city
Macon,1.53,0.29,mo_macon,missouri,city
Maryville,1.54,0.30,mo_maryville,missouri,city
Meadville,1.54,0.30,mo_meadville,missouri,city
Nevada,1.53,0.53,mo_nevada,missouri,city
Osage Beach,1.54,0.30,mo_osagebeac,missouri,city
Park Hills,1.54,0.30,mo_parkhills,missouri,city
Poplar Bluff,1.54,0.30,mo_pbl,missouri,city
Preston,1.53,0.23,mo_preston,missouri,city
Princeton,1.54,0.30,mo_princeton,missouri,city
Rock Port,1.54,0.30,mo_rockport,missouri,city
Rolla,1.54,0.30,mo_rolla,missouri,city
Sedalia,1.53,0.23,mo_sedalia,missouri,city
Springfield,1.53,0.23,mo_springfie,missouri,city
St. Joseph,1.54,0.30,mo_stjoseph,missouri,city
St. Louis,1.51,0.41,mo_stlouis,missouri,city
Wayland,1.54,0.30,mo_wayland,missouri,city
Willow Springs,1.54,0.30,mo_willowsp,missouri,city

US-412,1.54,0.30,armosl412,missouri,border
US-65,1.54,0.30,armosl65,missouri,border
US-67,1.54,0.30,armosl67,missouri,border
US-61,1.55,0.90,ia_mo_61_sl,missouri,border
I-44,1.54,0.30,mook_sl44e mook_sl44w,missouri,border

I-29 @ I-35,1.54,0.30,mo_i29xi35,missouri,junction
I-29 @ I-229,1.54,0.30,mo_i29x229,missouri,junction
I-29 @ I-635,1.54,0.30,mo_i29x635,missouri,junction
I-44 @ I-49,1.54,0.30,mo_i44x49,missouri,junction
I-44 @ US-50,1.54,0.30,mo_i44x50,missouri,junction
I-55 @ I-57,1.54,0.30,mo_i55i57,missouri,junction
I-55 @ I-155,1.54,0.30,mo_i55i155,missouri,junction
I-64 @ I-70,1.54,0.30,mo_i64x70,missouri,junction
I-70 @ US-65,1.53,0.16,mo_i70xus65,missouri,junction
I-70 @ Route 13,1.53,0.16,mo_i70mo13,missouri,junction
US-50 @ US-63,1.54,0.30,mo_us50x63,missouri,junction
US-54 @ US-63,1.53,0.53,mo_us54xus63,missouri,junction
US-65 @ Route 52,1.54,0.30,mo_us65xmo52,missouri,junction

# MONTANA ----------------------------------------------------------------------------------------
Alzada,1.59,0.317,mt_alzad,montana,city
Babb,1.45,,mt_babb,montana,city
Belt,1.45,,mt_belt,montana,city
Big Sandy,1.44,,mt_bigsandy,montana,city
Billings,1.44,,mt_billings mt_billing90,montana,city
Bozeman,1.44,,mt_bozeman,montana,city
Broadus,1.44,,mt_broadus,montana,city
Browning,1.45,,mt_browning,montana,city
Butte,1.44,,mt_butte,montana,city
Chester,1.44,,mt_chester,montana,city
Chinook,1.44,,mt_chinook,montana,city
Circle,1.44,,mt_circle,montana,city
Columbia Falls,1.45,,mt_colfalls,montana,city
Conrad,1.44,,mt_conrad,montana,city
Crow Agency,1.44,,mt_crow_agen,montana,city
Culbertson,1.44,,mt_culbertso,montana,city
Cut Bank,1.45,,mt_cutbank,montana,city
Dillon,1.44,,mt_dillon,montana,city
Earthquake Lake,1.45,,mt_quakelake,montana,city
East Glacier,1.44,,mt_eastglac,montana,city
Ennis,1.45,,mt_ennis,montana,city
Fort Peck,1.44,,mt_fortpeck,montana,city
Four Corners,1.45,,mt_fourcnr,montana,city
Glasgow,1.44,,mt_glasgow,montana,city
Glendive,1.44,,mt_glendive,montana,city
Grass Range,1.44,,mt_grassrang,montana,city
Great Falls,1.44,,mt_greatfall,montana,city
Hardin,1.44,,mt_hardin,montana,city
Haugan,1.44,,mt_haugan,montana,city
Havre,1.44,,mt_havre,montana,city
Helena,1.44,,mt_helena,montana,city
Jordan,1.44,,mt_jordan,montana,city
Kalispell,1.44,,mt_kalispell,montana,city
Laurel,1.44,,mt_laurel,montana,city
Lewistown,1.44,,mt_lewistown,montana,city
Lima,1.44,,mt_lima,montana,city
Lindsay,1.44,,mt_lindsay,montana,city
Logan Pass,1.45,,mt_loganpass,montana,city
Lolo,1.44,,mt_lolo,montana,city
Lolo Hot Springs,1.45,,mt_lolohotsp,montana,city
Lookout Pass,1.44,,mt_lookout_p,montana,city
Malta,1.44,,mt_malta,montana,city
Miles City,1.44,,mt_milescity,montana,city
Missoula,1.44,,mt_missoula,montana,city
Polson,1.44,,mt_polson,montana,city
Roundup,1.44,,mt_roundup,montana,city
Shelby,1.44,,mt_shelby,montana,city
Sidney,1.44,,mt_sidney mt_sidney200,montana,city
St. Mary,1.45,,mt_stmary,montana,city
St. Regis,1.44,,mt_stregis,montana,city
Thompson Falls,1.44,,mt_thompsonf,montana,city
Troy,1.44,,mt_troy,montana,city
West Glacier,1.44,,mt_westglac,montana,city
White Sulphur Sprgs,1.44,,mt_whitesulp,montana,city
Wolf Point,1.44,,mt_wolfpoint,montana,city
West Yellowstone,1.45,,mt_wyellow,montana,city

US-93,1.59,0.317,can_usa_93,montana,border
US-93,1.44,,idmtus93sl,montana,border
US-212,1.59,0.317,sdmt_sl212,montana,border
MT-59 & WY-59,1.44,,mtwy_sl59,montana,border

I-15 @ I-90,1.44,,mt_i15i90 mt_i15i90w,montana,junction
I-90 @ I-94,1.44,,mt_i90i94,montana,junction
I-90 @ US-89,1.44,,mt_i90us89,montana,junction
I-90 @ MT 200,1.44,,mt_i90mt200e,montana,junction
US-2 @ MT 24,1.44,,mt_us2mt24,montana,junction
US-87 @ US-89,1.44,,mt_us87us89,montana,junction
US-87 @ US-191,1.44,,mt_us87us191,montana,junction
US-93 @ MT 43,1.45,,mt_us93mt43,montana,junction
US-191 @ MT 19,1.44,,mt_us191mt19,montana,junction
US-212 @ US-310,1.44,,mt_us212310,montana,junction
MT 24 @ MT 200,1.44,,mt_mt24mt200,montana,junction
MT 135 @ MT 200,1.44,,mt_mt135x200,montana,junction

# NEBRASKA ----------------------------------------------------------------------------------------
Alliance,1.49,0.59,ne_all,nebraska,city
Alma,1.49,0.59,ne_alm,nebraska,city
Ansley,1.49,0.59,ne_ans,nebraska,city
Auburn,1.49,0.59,ne_aub,nebraska,city
Bartlett,1.50,0.78,ne_bar,nebraska,city
Bassett,1.49,0.52,ne_bas,nebraska,city
Beatrice,1.49,0.59,ne_bea,nebraska,city
Bridgeport,1.50,0.78,ne_bri,nebraska,city
Brownville,1.54,0.30,ne_brownvill,nebraska,city
Chadron,1.49,0.59,ne_cha,nebraska,city
Columbus,1.49,0.59,ne_col,nebraska,city
Fremont,1.50,0.78,ne_fremont,nebraska,city
Grand Island,1.49,0.55,ne_gis,nebraska,city
Harlan County Reservoir,1.50,0.78,ne_hcr,nebraska,city
Hyannis,1.50,0.78,ne_hya,nebraska,city
Lake McConaughy,1.50,0.78,ne_lak,nebraska,city
Laurel,1.54,0.45,ne_laurel,nebraska,city
Lewellen,1.50,0.78,ne_lewellen,nebraska,city
Lincoln,1.50,0.78,ne_lin,nebraska,city
McCook,1.49,0.44,ne_mccook,nebraska,city
Merriman,1.49,0.55,ne_mer,nebraska,city
Nebraska National Forest,1.50,0.78,ne_nnf,nebraska,city
Norfolk,1.49,0.59,ne_nor,nebraska,city
North Platte,1.49,0.59,ne_npl,nebraska,city
Nebraska Prairie Museum,1.50,0.78,ne_npm,nebraska,city
Ogallala,1.49,0.59,ne_oga,nebraska,city
Omaha,1.50,0.78,ne_oma ne_omaha80w,nebraska,city
O'Neill,1.49,0.52,ne_one,nebraska,city
Red Cloud,1.49,0.59,ne_rcl,nebraska,city
Scottsbluff,1.49,0.59,ne_sco,nebraska,city
Sidney,1.49,0.59,ne_sid,nebraska,city
South Sioux City,1.50,0.78,ne_ssc,nebraska,city
South Bellevue,1.55,0.90,ne_sthbellev,nebraska,city
Thedford,1.49,0.59,ne_the,nebraska,city
Trenton,1.50,0.78,ne_tre,nebraska,city
Valentine,1.49,0.55,ne_val,nebraska,city
York,1.50,0.78,ne_york,nebraska,city

I-80,1.50,0.78,ne_wy_i80_sl,nebraska,border
US-20,1.50,0.78,newy_us20_sl,nebraska,border
US-26,1.50,0.78,newyus26sl,nebraska,border
US-81,1.60,0.71,sdne_sl83,nebraska,border

I-76 @ I-80,1.50,0.78,ne_i76xi80,nebraska,junction
I-80 @ US-6,1.50,0.78,ne_i80xus6,nebraska,junction
I-80 @ US-81,1.50,0.78,ne_i80xus81,nebraska,junction
I-80 @ US-183,1.50,0.78,ne_i80us183,nebraska,junction
I-80 @ N-17B,1.50,0.78,ne_i80x17b,nebraska,junction
US-20 @ US-81,1.55,0.90,ne_us20x81,nebraska,junction
US-20 @ US-275,1.55,0.90,ne_us_20x275,nebraska,junction
US-26 @ N-61,1.50,0.78,ne_us26xne61,nebraska,junction
US-81 @ US-136,1.50,0.78,ne_us81x136,nebraska,junction
US-81 @ N-92,1.50,0.78,ne_us81xne92,nebraska,junction

# NEVADA ----------------------------------------------------------------------------------------
Alamo,1.59,0.317,nv_alamo,nevada,city
Austin,1.43,,nv_austin,nevada,city
Battle Mountain,1.43,,nv_battlemtn,nevada,city
Beatty,1.43,,nv_beatty,nevada,city
Caliente,1.59,0.317,nv_caliente,nevada,city
Carlin,1.59,0.317,nv_carlin,nevada,city
Carson City,1.43,,nv_carsoncit,nevada,city
Currie,1.59,0.317,nv_currie,nevada,city
Denio,1.43,,nv_denio,nevada,city
Denio Junction,1.43,,nv_deniojct,nevada,city
Elko,1.43,,nv_elko,nevada,city
Ely,1.43,,nv_ely,nevada,city
Fallon,1.59,0.317,nv_fallon,nevada,city
Goldfield,1.43,,nv_goldfield,nevada,city
Hoover Dam,1.57,0.46,nv_hoover,nevada,city
Indian Springs,1.43,,nv_indianspg,nevada,city
Jackpot,1.43,,nv_jackpot,nevada,city
Las Vegas,1.43,,nv_lasvegas,nevada,city
Lovelock,1.59,0.317,nv_lovelock,nevada,city
Mazany Creek,1.43,,nv_maz1,nevada,city
McDermitt,1.43,,nvmcdermitt,nevada,city
Montgomery Pass,1.49,0.44,nv_mont_pass,nevada,city
Owyhee,1.43,,nv_owyhee,nevada,city
Panaca,1.43,,nv_panaca,nevada,city
Pioche,1.43,,nv_pioche,nevada,city
Primm,1.47,,nv_primm,nevada,city
Rachel,1.43,,nv_rachel,nevada,city
Reno,1.43,,nv_reno,nevada,city
Silver Springs,1.60,0.71,nv_silversp,nevada,city
Sparks,1.44,,nv_sparks nv_sparksi80,nevada,city
Tonopah,1.43,,nv_tonopah,nevada,city
Walker Lake,1.60,0.71,nv_walkerlk,nevada,city
Wells,1.43,,nv_wells,nevada,city
Wendover,1.43,,nv_wendover,nevada,city
Winnemucca,1.43,,nv_winnemucc,nevada,city

I-15,1.43,,az_nv_i15_sl,nevada,border
US-395 (north),1.43,,ca_nv_sl395n,nevada,border
US-395 (south),1.47,,ca_nv_sl395s,nevada,border
I-80,1.44,,canv_sl80,nevada,border
US-6,1.43,,nv_ut_sl6,nevada,border

I-15 @ US-93,1.43,,nv_i15xus93,nevada,junction
I-80 @ US-95,1.59,0.317,nv_i80x95,nevada,junction
US-6 @ US-93,1.43,,nv_us6xus93,nevada,junction
US-6 @ US-95,1.43,,nv_us6us95,nevada,junction
US-6 @ SR 264,1.49,0.44,nv_us6x264,nevada,junction
US-6 @ SR 375,1.43,,nv_us6nv375,nevada,junction
US-50 @ US-50A,1.60,0.71,nv_us50x50a,nevada,junction
US-50 @ SR 376,1.43,,nv_us50nv376,nevada,junction
US-93 @ US-93 Alt,1.43,,nv_us93xalt9,nevada,junction
US-93 @ SR 375,1.43,,nv_us93nv375,nevada,junction
US-95 @ SR 140,1.43,,nv_us95nv140,nevada,junction
US-395 @ SR 208,1.60,0.71,nv_us395x208,nevada,junction
SR 376 @ SR 377,1.59,0.317,nv_nv376x377,nevada,junction

# NEW MEXICO ----------------------------------------------------------------------------------------
Alamogordo,1.43,,nm_alamogord,newmexico,city
Albuquerque,1.43,,nm_albuquerq nm_i40ealbu,newmexico,city
Artesia,1.43,,nm_artesia,newmexico,city
Bloomfield,1.43,,nm_bloomfiel,newmexico,city
Carlsbad,1.43,,nm_carlsbad,newmexico,city
Carlsbad Caverns,1.45,,nm_carlscav,newmexico,city
Carrizozo,1.43,,nm_carrizozo,newmexico,city
Clayton,1.44,,nm_clayton,newmexico,city
Clovis,1.43,,nm_clovis,newmexico,city
Corona,1.43,,nm_corona,newmexico,city
Des Moines,1.44,,nm_desmoines,newmexico,city
Eagle Nest,1.43,,nm_eaglenest,newmexico,city
Elida,1.43,,nm_elida,newmexico,city
Farmington,1.43,,nm_farmingto,newmexico,city
Fort Sumner,1.43,,nm_fortsumne,newmexico,city
Gallup,1.43,,nm_gallup,newmexico,city
Grants,1.57,0.46,nm_grants,newmexico,city
Hobbs,1.43,,nm_hobbs,newmexico,city
Las Cruces,1.43,,nm_lascruces,newmexico,city
Logan,1.46,,nm_logan,newmexico,city
Lordsburg,1.43,,nm_lordsburg,newmexico,city
Mesita,1.57,0.46,nm_mesita,newmexico,city
Mountain Park,1.43,,nm_mountpark,newmexico,city
Pastura,1.58,0.305,nm_pastura,newmexico,city
Quemado,1.43,,nm_quemado,newmexico,city
Raton,1.43,,nm_raton,newmexico,city
Rio Grande Gorge Bridge,1.43,,nm_riogranbr,newmexico,city
Roswell,1.43,,nm_roswell,newmexico,city
Santa Fe,1.43,,nm_santafe,newmexico,city
Santa Rosa,1.43,,nm_santarosa,newmexico,city
Shiprock,1.43,,nm_shiprock,newmexico,city
Sky City,1.43,,nm_skycity,newmexico,city
Socorro,1.43,,nm_socorro,newmexico,city
Texico,1.46,,nm_texico,newmexico,city
Tierra Amarilla,1.43,,nm_tierra,newmexico,city
Tucumcari,1.43,,nm_tucumcari,newmexico,city
Tularosa,1.43,,nm_tularosa,newmexico,city
Vaughn,1.43,,nm_vaughn,newmexico,city
White Sands,1.43,,nm_whitesand,newmexico,city
Whites City,1.45,,nm_whitescit,newmexico,city

Four Corners,1.43,,azconmut4c,newmexico,border
I-10,1.45,,aznmi10sl,newmexico,border
I-40,1.44,,nmtx_sli40,newmexico,border
US-54,1.46,,nmtxsl54,newmexico,border
US-56,1.47,,nmoksl56,newmexico,border
US-62,1.45,,nmtxus62sl,newmexico,border

I-10 @ I-25,1.43,,nm_i10i25,newmexico,junction
I-25 @ US-64,1.43,,nm_i25us64,newmexico,junction
I-25 @ US-70,1.43,,nm_i25us70,newmexico,junction
I-25 @ US-84,1.43,,nm_i25us84s,newmexico,junction
I-25 @ US-380,1.45,,nm_i25us380,newmexico,junction
I-25 @ US-550,1.43,,nm_i25us550,newmexico,junction
I-25 @ NM 599,1.43,,nm_i25nm599,newmexico,junction
I-40 @ US-84,1.43,,nm_i40us84w,newmexico,junction
I-40 @ NM 500,1.57,0.46,nm_i40x500,newmexico,junction
US-64 @ US-84,1.43,,nm_us64us84e,newmexico,junction
US-70 @ US-380,1.43,,nm_us70us380,newmexico,junction
US-84 @ US-285,1.43,,nm_us84285nm,newmexico,junction

# NORTH DAKOTA ----------------------------------------------------------------------------------------
Fargo,1.59,0.317,nd_fargo,northdakota,city
Williston,1.44,,nd_williston,northdakota,city

# OKLAHOMA ----------------------------------------------------------------------------------------
Altus,1.47,,ok_altus,oklahoma,city
Ardmore,1.47,,ok_ardmore,oklahoma,city
Beavers Bend,1.48,0.21,ok_beaversbe,oklahoma,city
Boise City,1.47,,ok_boisecity,oklahoma,city
Broken Bow Dam,1.48,0.21,ok_brkbwdam,oklahoma,city
Broken Bow,1.48,0.21,ok_brokenbow,oklahoma,city
Bryan's Corner,1.47,,ok_bryanscnr,oklahoma,city
Checotah,1.48,0.21,ok_checotah,oklahoma,city
Chouteau,1.48,0.21,ok_chouteau,oklahoma,city
Cleo Springs,1.47,,ok_cleospgs,oklahoma,city
Clinton,1.47,,ok_clinton,oklahoma,city
Duncan,1.47,,ok_duncan,oklahoma,city
Durant,1.48,0.21,ok_durant,oklahoma,city
Enid,1.47,,ok_enid,oklahoma,city
Guymon,1.47,,ok_guymon,oklahoma,city
Henryetta,1.48,0.21,ok_henryetta,oklahoma,city
Hochatown,1.48,0.21,ok_hochatown,oklahoma,city
Hugo,1.48,0.21,ok_hugo,oklahoma,city
Idabel,1.48,0.21,ok_idabel,oklahoma,city
Lawton,1.47,,ok_lawton,oklahoma,city
Madill,1.48,0.21,ok_madill,oklahoma,city
McAlester,1.47,,ok_mcalester,oklahoma,city
Miami,1.49,0.44,ok_miami,oklahoma,city
Midwest City,1.48,0.21,ok_midwestci,oklahoma,city
Muldrow,1.50,0.78,ok_muldrow,oklahoma,city
Muskogee,1.48,0.21,ok_muskogee,oklahoma,city
Oklahoma City,1.51,0.41,ok_okc44 ok_oklacity,oklahoma,city
Sallisaw,1.48,0.21,ok_sallisaw,oklahoma,city
Seiling,1.47,,ok_seiling,oklahoma,city
Spiro,1.48,0.21,ok_spiro,oklahoma,city
Stroud,1.48,0.21,ok_stroud,oklahoma,city
Texhoma,1.48,0.21,oktx_texhoma,oklahoma,city
Tonkawa,1.49,0.44,ok_tonkawa,oklahoma,city
Tulsa,1.47,,ok_tulsa,oklahoma,city
Waurika,1.47,,ok_waurika,oklahoma,city
Woodward,1.47,,ok_woodward,oklahoma,city

I-35,1.49,0.44,ksok_sli35,oklahoma,border
I-44,1.48,0.21,ok_tx_i44_sl,oklahoma,border
I-44,1.54,0.30,mook_sl44e mook_sl44w,oklahoma,border
US-56,1.47,,nmoksl56,oklahoma,border
US-70,1.50,0.78,ar_ok_sl70,oklahoma,border
US-83,1.49,0.44,ksok_sl83,oklahoma,border
US-83,1.47,,oktxsl83,oklahoma,border
US-183,1.49,0.44,ksoksl183,oklahoma,border
US-259,1.48,0.21,ok_tx_259_sl,oklahoma,border
US-271,1.48,0.21,oktxsl271,oklahoma,border
US-287,1.47,,cooksl287,oklahoma,border
US-385,1.47,,oktxsl385,oklahoma,border

I-35 @ I-44,1.48,0.21,ok_i35xi44,oklahoma,junction
I-35 @ US-412,1.48,0.21,ok_i35xus412,oklahoma,junction
I-40 @ I-44,1.51,0.41,ok_i40x44,oklahoma,junction
I-40 @ US-64,1.50,0.78,ok_i40xus64,oklahoma,junction
I-44 @ US-69,1.49,0.44,ok_us69i44,oklahoma,junction
US-59 @ US-271,1.51,0.41,ok_us59us271,oklahoma,junction
US-64 @ US-183,1.49,0.44,ok_us64us183,oklahoma,junction
US-70 @ US-259,1.48,0.21,ok_us70us259,oklahoma,junction
US-75 @ 66th St,1.48,0.32,ok_ux75x66nt,oklahoma,junction

# OREGON ----------------------------------------------------------------------------------------
Adel,1.43,,or_adel,oregon,city
Albany,1.43,,or_albany,oregon,city
Astoria,1.43,,or_astoria,oregon,city
Baker City,1.43,,or_bakercity,oregon,city
Bend,1.43,,or_bend or_bendus97,oregon,city
Biggs,1.43,,or_biggs,oregon,city
Bly,1.43,,or_bly,oregon,city
Brothers,1.43,,or_brothers,oregon,city
Burns,1.43,,or_burns,oregon,city
Burns Junction,1.43,,or_burnsjct,oregon,city
Canyonville,1.43,,or_canyonvil,oregon,city
Coos Bay,1.43,,or_coosbay,oregon,city
Crater Lake,1.43,,or_craterlak,oregon,city
Crescent,1.43,,or_crescent,oregon,city
Eugene,1.43,,or_eugene,oregon,city
Grants Pass,1.43,,or_grants,oregon,city
Hunter Creek,1.43,,or_hunterck,oregon,city
John Day,1.43,,or_johnday,oregon,city
Jordan Valley,1.43,,or_jordanval,oregon,city
Juntura,1.43,,or_juntura,oregon,city
Klamath Falls,1.43,,or_klamath,oregon,city
Lake of the Woods,1.43,,or_lakeofthe,oregon,city
Lakeview,1.43,,or_lakeview,oregon,city
Maupin,1.43,,or_maupin,oregon,city
Medford,1.43,,or_medford,oregon,city
Newport,1.43,,or_newport,oregon,city
Ona Beach,1.43,,or_onabeach,oregon,city
Ontario,1.43,,or_ontario,oregon,city
Pacific City,1.43,,or_pacificci,oregon,city
Pendleton,1.43,,or_pendleton,oregon,city
Pleasant Hill,1.43,,or_pleasanth,oregon,city
Portland,1.43,,or_porlus30e or_porti5n or_porti5s or_porti84w,oregon,city
Riley,1.43,,or_riley,oregon,city
Rome,1.43,,or_rome,oregon,city
Salem,1.43,,or_salem,oregon,city
Shaniko,1.43,,or_shaniko,oregon,city
Terrebonne,1.43,,or_terrebonn,oregon,city
The Dalles,1.43,,or_thedalles,oregon,city
Toledo,1.43,,or_toledo,oregon,city
Troutdale,1.43,,or_troutdale,oregon,city
Vale,1.43,,or_vale,oregon,city
Willamette Pass,1.43,,or_williamet,oregon,city

US-97,1.43,,ca_or_sl_97,oregon,border
